drug	phenotype	max_phase_for_ind
CHEMBL1908360	D001943	Not Applicable
CHEMBL1908360	D002292	4
CHEMBL1908360	D015179	2
CHEMBL1908360	D008654	2
CHEMBL1908360	D002289	2
CHEMBL1908360	D012509	2
CHEMBL1908360	D055752	2
CHEMBL1200374	D001943	Not Applicable
CHEMBL414357	D003920	4
CHEMBL414357	D009203	3
CHEMBL414357	D009765	Not Applicable
CHEMBL1138	D006937	Not Applicable
CHEMBL902	D009069	2
CHEMBL902	D010437	Not Applicable
CHEMBL1164729	D006073	Not Applicable
CHEMBL672	D024821	2
CHEMBL596	D010146	4
CHEMBL710	D002289	2
CHEMBL710	D011471	Not Applicable
CHEMBL407	D007319	1
CHEMBL185	D015179	Not Applicable
CHEMBL1473	D029424	4
CHEMBL1473	D057765	3
CHEMBL1201202	D054556	3
CHEMBL1201202	D020246	Not Applicable
CHEMBL1358	D001943	Not Applicable
CHEMBL35	D006333	Not Applicable
CHEMBL35	D008171	3
CHEMBL35	D011655	3
CHEMBL940	D007319	Not Applicable
CHEMBL940	D010146	4
CHEMBL1628502	D012148	4
CHEMBL939	D002289	4
CHEMBL939	D006258	3
CHEMBL888	D002289	4
CHEMBL888	D010190	4
CHEMBL1073	D003920	4
CHEMBL1201335	D029424	4
CHEMBL1007	D007246	3
CHEMBL1201247	D001943	Not Applicable
CHEMBL1201247	D011471	Not Applicable
CHEMBL289469	D009325	4
CHEMBL862	D001289	Not Applicable
CHEMBL54	D001714	3
CHEMBL54	D011618	4
CHEMBL1201657	D014648	4
CHEMBL1201692	D007246	3
CHEMBL1201438	D007938	3
CHEMBL1201438	D008545	Not Applicable
CHEMBL435	D006973	Not Applicable
CHEMBL1457	D010146	4
CHEMBL1200848	D047928	4
CHEMBL467	D007938	4
CHEMBL467	D008545	4
CHEMBL1873475	D008107	1
CHEMBL521	D005334	4
CHEMBL521	D063806	4
CHEMBL521	D010146	4
CHEMBL494	D006976	4
CHEMBL941	D015464	4
CHEMBL941	D018318	2
CHEMBL941	D011087	2
CHEMBL941	D006976	3
CHEMBL1282	D055623	Not Applicable
CHEMBL1282	D002280	Not Applicable
CHEMBL2108035	D010146	2
CHEMBL1095777	D029424	4
CHEMBL406	D006973	Not Applicable
CHEMBL6	D010195	Not Applicable
CHEMBL6	D047928	3
CHEMBL1201581	D013167	Not Applicable
CHEMBL1201581	D003424	Not Applicable
CHEMBL1201581	D004715	2
CHEMBL1201581	D011565	Not Applicable
CHEMBL1201581	D001172	Not Applicable
CHEMBL1201581	D003093	Not Applicable
CHEMBL1201631	D003920	4
CHEMBL1201631	D006943	3
CHEMBL1201631	D007333	3
CHEMBL1201558	D006526	3
CHEMBL1789844	D002277	2
CHEMBL1789844	D008545	Not Applicable
CHEMBL1789844	D011471	3
CHEMBL1621597	D029424	4
CHEMBL1513	D001281	3
CHEMBL1513	D006973	Not Applicable
CHEMBL1201752	D001943	4
CHEMBL571	D063806	4
CHEMBL469	D010146	4
CHEMBL741	D001714	Not Applicable
CHEMBL741	D004827	Not Applicable
CHEMBL741	D007863	1
CHEMBL480	D005764	Not Applicable
CHEMBL554	D001943	Not Applicable
CHEMBL1051	D005901	Not Applicable
CHEMBL1289601	D008545	3
CHEMBL1444	D001943	Not Applicable
CHEMBL1444	D007246	3
CHEMBL1201199	D011471	Not Applicable
CHEMBL1201191	D007863	1
CHEMBL1201191	D006255	4
CHEMBL1624	D007037	4
CHEMBL79	D020370	2
CHEMBL79	D010146	4
CHEMBL79	D010523	3
CHEMBL3301675	D043183	Not Applicable
CHEMBL4084119	D018149	3
CHEMBL4084119	D003920	4
CHEMBL1201222	D001289	Not Applicable
CHEMBL1237	D006973	4
CHEMBL580	D001007	4
CHEMBL360328	D009765	4
CHEMBL191	D006973	Not Applicable
CHEMBL503	D029424	2
CHEMBL1201134	D043183	Not Applicable
CHEMBL2103873	D006976	4
CHEMBL1201187	D015658	4
CHEMBL1201139	D029424	2
CHEMBL2108427	D007246	3
CHEMBL1425	D003424	3
CHEMBL704	D003092	4
CHEMBL704	D003424	4
CHEMBL704	D011349	4
CHEMBL704	D003093	4
CHEMBL1431	D003920	4
CHEMBL1431	D009765	Not Applicable
CHEMBL34259	D003424	Not Applicable
CHEMBL34259	D001172	Not Applicable
CHEMBL34259	D003093	2
CHEMBL1186579	D003248	Not Applicable
CHEMBL796	D001289	Not Applicable
CHEMBL796	D001714	Not Applicable
CHEMBL650	D020529	3
CHEMBL13	D006973	Not Applicable
CHEMBL1276308	D019970	2
CHEMBL259209	D005356	4
CHEMBL802	D000505	Not Applicable
CHEMBL2095212	D006333	3
CHEMBL654	D003866	4
CHEMBL606	D006470	4
CHEMBL1373	D001289	4
CHEMBL1373	D019970	3
CHEMBL1373	D019969	2
CHEMBL1161	D006255	4
CHEMBL1161	D006984	3
CHEMBL1161	D008173	4
CHEMBL787	D057765	3
CHEMBL70	D009357	3
CHEMBL70	D010146	4
CHEMBL80	D009293	4
CHEMBL19019	D005715	3
CHEMBL19019	D009293	4
CHEMBL154	D010146	4
CHEMBL154	D001172	Not Applicable
CHEMBL1201607	D020529	3
CHEMBL1484	D006973	4
