drug	phenotype	max_phase_for_ind
CHEMBL184618	D015817	3
CHEMBL2108462	D006463	3
CHEMBL2108463	D008224	2
CHEMBL2109193	D006086	2
CHEMBL2109198	D051436	2
CHEMBL2109198	D003248	4
CHEMBL2109204	D008175	3
CHEMBL2109208	D014648	2
CHEMBL2108479	D003218	1
CHEMBL2007641	D006394	2
CHEMBL2007641	D012004	1
CHEMBL2007641	D013274	3
CHEMBL2007641	D010534	2
CHEMBL2007641	D018278	2
CHEMBL2007641	D005185	2
CHEMBL2007641	D010051	3
CHEMBL2007641	D064129	2
CHEMBL2007641	D003110	1
CHEMBL2107881	D011649	2
CHEMBL2107881	D007680	1
CHEMBL2107881	D001943	2
CHEMBL2107881	D010051	2
CHEMBL2107881	D064129	2
CHEMBL2107881	D008175	2
CHEMBL2107881	D003110	2
CHEMBL2107884	D019966	3
CHEMBL2107910	D017116	2
CHEMBL2107910	D003872	1
CHEMBL2107910	D010510	2
CHEMBL2107913	D006086	1
CHEMBL2107914	D012778	3
CHEMBL2107917	D010534	2
CHEMBL2107917	D005185	2
CHEMBL2108074	D010188	3
CHEMBL2108086	D058729	3
CHEMBL2108086	D054556	3
CHEMBL2108102	D007680	3
CHEMBL2108102	D005834	3
CHEMBL2108102	D001943	3
CHEMBL1909079	D005891	4
CHEMBL3833407	D001424	
CHEMBL2108106	D012778	2
CHEMBL2108875	D010534	2
CHEMBL2108875	D005185	2
CHEMBL2108875	D010051	2
CHEMBL2108876	D001932	1
CHEMBL2108878	D013964	3
CHEMBL2108113	D001943	3
CHEMBL2108742	D006086	1
CHEMBL2108752	D057135	3
CHEMBL2108757	D018358	2
CHEMBL2108764	D012769	3
CHEMBL2108766	D004478	
CHEMBL2108769	D064129	1
CHEMBL2108139	D013945	1
CHEMBL2108790	D019694	2
CHEMBL2108791	D002544	Not Applicable
CHEMBL2108791	D002545	2
CHEMBL2108796	D013274	1
CHEMBL2108796	D004938	1
CHEMBL2108796	D003110	1
CHEMBL2108147	D010195	3
CHEMBL2359370	D000740	4
CHEMBL3137685	D016543	2
CHEMBL3137685	D002583	2
CHEMBL2108161	D014860	3
CHEMBL2108163	D013280	3
CHEMBL2108163	D006470	3
CHEMBL2105864	D016543	2
CHEMBL444172	D009190	3
CHEMBL2103979	D008545	2
CHEMBL2103979	D004938	2
CHEMBL2108833	D012868	3
CHEMBL79280	D008175	2
CHEMBL2105907	D001424	
CHEMBL2105910	D003371	
CHEMBL226267	D010534	2
CHEMBL226267	D010051	2
CHEMBL226267	D016889	2
CHEMBL2105953	D001424	0
CHEMBL68055	D001943	2
CHEMBL2105967	D014627	2
CHEMBL3833401	D000152	4
CHEMBL252518	D008180	2
CHEMBL80830	D012216	3
CHEMBL2108184	D001943	2
CHEMBL2108185	D007006	3
CHEMBL1201610	D015423	2
CHEMBL1201610	D005921	2
CHEMBL2106004	D003248	
CHEMBL3186538	D001424	
CHEMBL9194	D016543	1
CHEMBL9194	D010534	2
CHEMBL9194	D005185	2
CHEMBL9194	D007680	2
CHEMBL9194	D010051	2
CHEMBL9194	D064129	3
CHEMBL2110796	D003371	
CHEMBL2106179	D001289	2
CHEMBL1232131	D014648	4
CHEMBL778	D011618	2
CHEMBL2108197	D064129	1
CHEMBL2104266	D001424	
CHEMBL2106227	D001007	3
CHEMBL2108200	D004478	4
CHEMBL2108964	D017116	2
CHEMBL1201497	D006973	3
CHEMBL1201497	D050197	3
CHEMBL1201497	D006937	3
CHEMBL1201564	D009164	2
CHEMBL1201564	D014606	1
CHEMBL1201564	D010534	2
CHEMBL1201564	D005185	2
CHEMBL1201564	D012162	1
CHEMBL1201564	D001943	3
CHEMBL1201564	D010051	2
CHEMBL1201564	D064129	1
CHEMBL2108494	D045169	3
CHEMBL2108494	D007251	1
CHEMBL2108494	D015043	2
CHEMBL2108494	D015817	4
CHEMBL2108494	D002583	2
CHEMBL2108494	D003110	3
CHEMBL2105002	D003371	4
CHEMBL2110674	D055959	1
CHEMBL2108501	D001943	1
CHEMBL2108501	D003110	1
CHEMBL2108506	D009196	2
CHEMBL2108506	D016543	2
CHEMBL2108506	D018358	2
CHEMBL2108506	D013274	2
CHEMBL2108506	D001749	3
CHEMBL2108506	D010534	1
CHEMBL2108506	D007680	3
CHEMBL2108506	D008113	2
CHEMBL2108506	D001943	1
CHEMBL2108506	D004938	2
CHEMBL2108506	D010051	1
CHEMBL2108506	D064129	2
CHEMBL2108506	D008175	2
CHEMBL2108506	D008224	2
CHEMBL2108508	D007680	3
CHEMBL2108510	D015867	3
CHEMBL2108510	D008269	3
CHEMBL2105053	D003371	
CHEMBL3989480	D003248	4
CHEMBL2105080	D001007	
CHEMBL2105085	D004381	3
CHEMBL2105085	D013276	3
CHEMBL2108518	D020896	3
CHEMBL2108518	D018276	1
CHEMBL2107456	D013118	3
CHEMBL2107457	D010538	3
CHEMBL2109229	D007674	1
CHEMBL2109229	D001749	1
CHEMBL2109229	D007680	1
CHEMBL2109229	D008113	2
CHEMBL2109229	D001943	1
CHEMBL2109229	D004938	1
CHEMBL2109229	D010051	1
CHEMBL2109229	D064129	2
CHEMBL2109229	D008175	2
CHEMBL2109229	D008224	2
CHEMBL2105148	D003371	
CHEMBL2110553	D001932	1
CHEMBL2105158	D003371	
CHEMBL2106822	D001289	
CHEMBL2105161	D017116	3
CHEMBL2105167	D003371	
CHEMBL2108531	D016543	2
CHEMBL2106939	D009181	3
CHEMBL2107951	D056833	2
CHEMBL2107951	D011236	1
CHEMBL2107951	D003865	2
CHEMBL2105242	D014549	
CHEMBL2105242	D011141	
CHEMBL2106968	D000152	
CHEMBL2107966	D007251	1
CHEMBL2106988	D001424	4
CHEMBL2108546	D051359	3
CHEMBL2108546	D006103	3
CHEMBL2105302	D003371	
CHEMBL55400	D003111	1
CHEMBL2105348	D015459	3
CHEMBL2105359	D014890	2
CHEMBL2105359	D055953	2
CHEMBL2105373	D011618	2
CHEMBL2105373	D017116	2
CHEMBL2105395	D010145	3
CHEMBL2105395	D001284	4
CHEMBL2105395	D004414	4
CHEMBL2108555	D052256	1
CHEMBL2105399	D001424	
CHEMBL2107067	D007006	4
CHEMBL2105420	D016543	1
CHEMBL2105420	D010534	1
CHEMBL2105420	D005185	1
CHEMBL2105420	D010051	1
CHEMBL4300152	D005891	2
CHEMBL2108559	D003110	3
CHEMBL2107486	D001424	3
CHEMBL2107486	D007674	1
CHEMBL2107489	D001424	
CHEMBL2107997	D002583	1
CHEMBL1201647	D014648	4
CHEMBL2105497	D003371	
CHEMBL2105499	D001424	
CHEMBL1788403	D004478	
CHEMBL2108693	D001982	3
CHEMBL2108696	D003248	3
CHEMBL2107636	D001424	
CHEMBL3990248	D012216	
CHEMBL467084	D003865	2
CHEMBL2105581	D011618	4
CHEMBL176	D001424	3
CHEMBL2105606	D006373	
CHEMBL1547	D006331	3
CHEMBL2104519	D001424	
CHEMBL2106548	D001424	
CHEMBL2104591	D003371	
CHEMBL2106561	D006973	
CHEMBL1614650	D016543	1
CHEMBL1614650	D010534	2
CHEMBL1614650	D005185	2
CHEMBL1614650	D008113	2
CHEMBL1614650	D002583	2
CHEMBL1614650	D001943	2
CHEMBL1614650	D010051	2
CHEMBL1614650	D064129	2
CHEMBL1614650	D008175	2
CHEMBL2106566	D003731	2
CHEMBL2104608	D004478	
CHEMBL2104612	D016543	3
CHEMBL2106613	D013684	2
CHEMBL2142890	D001289	4
CHEMBL3544907	D001749	1
CHEMBL3544907	D001943	1
CHEMBL3544907	D010051	1
CHEMBL3544907	D064129	1
CHEMBL3544907	D008175	2
CHEMBL2104722	D015817	
CHEMBL2111029	D010534	2
CHEMBL2111029	D010051	2
CHEMBL2107143	D016543	2
CHEMBL2107143	D010051	2
CHEMBL2107143	D008175	2
CHEMBL2104786	D006951	3
CHEMBL2104790	D001007	
CHEMBL3833367	D001943	2
CHEMBL3833367	D064129	3
CHEMBL3833367	D008175	2
CHEMBL2110551	D001932	1
CHEMBL2104859	D001289	
CHEMBL2104345	D010523	2
CHEMBL2104900	D003371	
CHEMBL2104910	D015817	
CHEMBL2104921	D001424	
CHEMBL4297208	D008175	2
CHEMBL514800	D003872	2
CHEMBL2107312	D009128	2
CHEMBL1963681	D007674	1
CHEMBL2107313	D007680	2
CHEMBL2107313	D001661	3
CHEMBL2107313	D010051	2
CHEMBL2107313	D008175	2
CHEMBL2111084	D008175	2
CHEMBL270995	D006528	1
CHEMBL2111086	D010534	2
CHEMBL2111086	D005185	2
CHEMBL2111086	D008175	2
CHEMBL2087003	D000437	1
CHEMBL2095208	D011020	3
CHEMBL507282	D008269	2
CHEMBL300138	D009447	1
CHEMBL300138	D016543	1
CHEMBL300138	D010051	2
CHEMBL300138	D064129	2
CHEMBL300138	D008175	2
CHEMBL1276138	D003865	2
CHEMBL4594234	D001943	2
CHEMBL2107341	D007006	2
CHEMBL218291	D016411	1
CHEMBL1957038	D010534	1
CHEMBL1957038	D005185	1
CHEMBL1957038	D010051	1
CHEMBL1957038	D064129	1
CHEMBL2104970	D016543	1
CHEMBL572881	D010534	2
CHEMBL572881	D013964	2
CHEMBL572881	D005185	2
CHEMBL572881	D004938	1
CHEMBL572881	D010051	2
CHEMBL572881	D008175	1
CHEMBL572881	D003110	1
CHEMBL408194	D015463	1
CHEMBL408194	D008175	1
CHEMBL408194	D008224	2
CHEMBL408194	D055728	2
CHEMBL2107361	D008175	2
CHEMBL191413	D001943	2
CHEMBL3707331	D012509	2
CHEMBL190083	D003704	3
CHEMBL190083	D064129	2
CHEMBL2111109	D064129	2
CHEMBL2104986	D003865	2
CHEMBL2104987	D007674	1
CHEMBL2104987	D006086	1
CHEMBL2104987	D012778	4
CHEMBL90983	D016543	1
CHEMBL90983	D018290	1
CHEMBL3040192	D064129	1
CHEMBL256147	D012769	3
CHEMBL2107381	D013274	2
CHEMBL2107381	D004938	2
CHEMBL3187683	D020244	2
CHEMBL3989680	D017116	2
CHEMBL2107759	D003110	2
CHEMBL2107759	D012004	2
CHEMBL3544910	D015451	2
CHEMBL3544910	D000230	2
CHEMBL3544910	D002292	2
CHEMBL3544910	D010190	1
CHEMBL3544910	D001932	3
CHEMBL3544910	D014565	2
CHEMBL3544910	D008228	2
CHEMBL3544910	D009362	3
CHEMBL3544910	D016543	2
CHEMBL3544910	D018316	1
CHEMBL3544910	D007680	2
CHEMBL3544910	D005706	1
CHEMBL3544910	D008175	2
CHEMBL2107760	D064129	2
CHEMBL4297205	D064129	2
CHEMBL94657	D002276	2
CHEMBL94657	D003110	2
CHEMBL94657	D005185	3
CHEMBL94657	D010051	3
CHEMBL94657	D064129	2
CHEMBL451930	D064129	2
CHEMBL451930	D055728	2
CHEMBL2107781	D003248	
CHEMBL444929	D010051	2
CHEMBL444929	D064129	2
CHEMBL2107784	D064129	3
CHEMBL2107787	D064129	2
CHEMBL1721515	D018358	2
CHEMBL256147	D002539	1
CHEMBL256147	D001943	1
CHEMBL2108570	D017116	2
CHEMBL2108574	D020152	3
CHEMBL2108577	D002277	2
CHEMBL2108577	D008175	2
CHEMBL2108581	D010051	2
CHEMBL2108583	D001932	1
CHEMBL2108583	D016543	1
CHEMBL2108585	D016543	1
CHEMBL2108585	D010534	1
CHEMBL2108585	D008113	1
CHEMBL2108585	D001943	2
CHEMBL2108585	D010051	1
CHEMBL2108585	D008175	1
CHEMBL2108027	D003920	4
CHEMBL2108027	D059606	2
CHEMBL2108594	D001847	4
CHEMBL2108029	D001943	2
CHEMBL2108597	D058922	3
CHEMBL2108031	D064129	2
CHEMBL1201718	D001749	1
CHEMBL2108609	D001749	2
CHEMBL2108609	D001943	2
CHEMBL2108609	D010051	1
CHEMBL2108035	D053201	3
CHEMBL2108035	D014103	3
CHEMBL2108035	D009128	3
CHEMBL2108035	D014202	2
CHEMBL2108035	D012913	2
CHEMBL2108035	D020821	3
CHEMBL2108611	D001752	1
CHEMBL2108611	D019337	1
CHEMBL2108615	D001749	2
CHEMBL2108618	D064129	2
CHEMBL2108621	D002583	1
CHEMBL2108038	D010051	2
CHEMBL2108623	D014256	2
CHEMBL2108623	D003110	1
CHEMBL2108628	D010534	1
CHEMBL2108628	D005185	1
CHEMBL2108628	D001943	2
CHEMBL2108628	D010051	1
CHEMBL2108628	D064129	2
CHEMBL2108628	D008175	3
CHEMBL2108651	D002289	3
CHEMBL2108653	D003110	2
CHEMBL2108658	D018358	2
CHEMBL2108658	D018281	2
CHEMBL2108658	D018239	2
CHEMBL2108658	D004407	2
CHEMBL2108658	D004938	1
CHEMBL2108658	D064129	2
CHEMBL2108658	D008175	3
CHEMBL2108660	D010051	2
CHEMBL2108664	D001005	1
CHEMBL2108664	D002583	2
CHEMBL2108664	D018290	1
CHEMBL2108060	D016543	2
CHEMBL2108061	D010051	2
CHEMBL2108061	D008175	2
CHEMBL2108667	D054198	2
CHEMBL2108667	D006086	2
CHEMBL489	D002285	2
CHEMBL98	D013920	2
CHEMBL98	D013964	2
CHEMBL98	D011087	2
CHEMBL98	D007012	1
CHEMBL98	D000080443	1
CHEMBL98	D012004	2
CHEMBL98	D047748	2
CHEMBL98	D013274	1
CHEMBL98	D001932	2
CHEMBL98	D001005	1
CHEMBL98	D010534	1
CHEMBL98	D005185	1
CHEMBL98	D008113	1
CHEMBL98	D005910	1
CHEMBL98	D004938	1
CHEMBL98	D064129	2
CHEMBL98	D018276	2
CHEMBL98	D015456	2
CHEMBL98	D003110	2
CHEMBL98	D009959	1
CHEMBL535	D010673	2
CHEMBL535	D018358	4
CHEMBL535	D010534	2
CHEMBL535	D004938	2
CHEMBL535	D010051	2
CHEMBL535	D064129	2
CHEMBL535	D008175	Not Applicable
CHEMBL14762	D001943	1
CHEMBL596	D012131	4
CHEMBL596	D001986	2
CHEMBL596	D013274	3
CHEMBL596	D001943	Not Applicable
CHEMBL596	D001930	2
CHEMBL18442	D012509	1
CHEMBL18442	D007674	1
CHEMBL18442	D009503	1
CHEMBL18442	D016399	2
CHEMBL18442	D008224	1
CHEMBL18442	D019337	2
CHEMBL24828	D000080443	1
CHEMBL24828	D016543	1
CHEMBL24828	D012004	1
CHEMBL24828	D013274	2
CHEMBL24828	D001749	2
CHEMBL24828	D010534	2
CHEMBL24828	D005185	2
CHEMBL24828	D007680	2
CHEMBL24828	D014523	2
CHEMBL24828	D010051	2
CHEMBL24828	D064129	2
CHEMBL24828	D014516	2
CHEMBL24828	D008175	2
CHEMBL24828	D018276	4
CHEMBL288441	D001752	4
CHEMBL288441	D001749	1
CHEMBL288441	D010534	1
CHEMBL288441	D013953	1
CHEMBL288441	D002583	1
CHEMBL288441	D010051	1
CHEMBL43452	D064129	2
CHEMBL43452	D006086	2
CHEMBL43452	D005871	1
CHEMBL848	D021441	1
CHEMBL848	D009362	3
CHEMBL848	D000080443	1
CHEMBL848	D016543	1
CHEMBL848	D012004	1
CHEMBL848	D020918	2
CHEMBL848	D015463	2
CHEMBL848	D010534	1
CHEMBL848	D005185	1
CHEMBL848	D007680	2
CHEMBL848	D008113	2
CHEMBL848	D011843	2
CHEMBL848	D016393	1
CHEMBL848	D014523	1
CHEMBL848	D010051	2
CHEMBL848	D064129	3
CHEMBL848	D006086	2
CHEMBL848	D016399	2
CHEMBL848	D015459	2
CHEMBL848	D003110	1
CHEMBL848	D019337	2
CHEMBL308954	D014777	4
CHEMBL109480	D018442	1
CHEMBL109480	D013964	2
CHEMBL109480	D009196	2
CHEMBL109480	D008258	1
CHEMBL109480	D054198	1
CHEMBL109480	D015463	1
CHEMBL109480	D013274	1
CHEMBL109480	D001749	1
CHEMBL109480	D007680	2
CHEMBL109480	D001943	2
CHEMBL109480	D010051	1
CHEMBL109480	D064129	1
CHEMBL109480	D008175	1
CHEMBL109480	D018276	2
CHEMBL109480	D008224	1
CHEMBL109480	D015459	1
CHEMBL325041	D007119	1
CHEMBL325041	D002051	1
CHEMBL325041	D009196	1
CHEMBL325041	D017728	1
CHEMBL325041	D016543	2
CHEMBL325041	D012751	1
CHEMBL325041	D009182	1
CHEMBL325041	D014511	1
CHEMBL325041	D016483	1
CHEMBL325041	D013274	2
CHEMBL325041	D001749	2
CHEMBL325041	D010534	1
CHEMBL325041	D005185	1
CHEMBL325041	D007680	2
CHEMBL325041	D002583	2
CHEMBL325041	D014523	2
CHEMBL325041	D001943	2
CHEMBL325041	D004938	2
CHEMBL325041	D010051	2
CHEMBL325041	D064129	2
CHEMBL325041	D014516	2
CHEMBL325041	D008175	2
CHEMBL325041	D018276	1
CHEMBL325041	D005871	2
CHEMBL325041	D015459	1
CHEMBL38827	D012553	2
CHEMBL1323	D014777	4
CHEMBL1323	D011020	3
CHEMBL180022	D006394	2
CHEMBL4594242	D002114	2
CHEMBL198362	D045169	3
CHEMBL198362	D009767	1
CHEMBL198362	D006406	3
CHEMBL198362	D051437	3
CHEMBL198362	D013921	3
CHEMBL198362	D013923	2
CHEMBL1404	D007674	1
CHEMBL1421	D000080443	2
CHEMBL1421	D016543	1
CHEMBL1421	D012004	2
CHEMBL1421	D010534	1
CHEMBL1421	D005185	1
CHEMBL1421	D003528	2
CHEMBL1421	D007951	Not Applicable
CHEMBL1421	D010051	2
CHEMBL1421	D064129	2
CHEMBL1421	D008175	2
CHEMBL1421	D016889	1
CHEMBL1421	D034721	2
CHEMBL1421	D008224	1
CHEMBL1421	D054066	1
CHEMBL1421	D015459	1
CHEMBL1421	D006103	1
CHEMBL1421	D003110	2
CHEMBL374731	D014777	4
CHEMBL374731	D006505	3
CHEMBL426559	D005483	2
CHEMBL231813	D014777	4
CHEMBL231779	D007511	3
CHEMBL231779	D009404	1
CHEMBL231779	D006406	3
CHEMBL231779	D051437	3
CHEMBL231779	D054092	2
CHEMBL231779	D013923	4
CHEMBL255863	D002524	2
CHEMBL255863	D005870	2
CHEMBL255863	D007951	3
CHEMBL255863	D001943	1
CHEMBL255863	D006086	2
CHEMBL255863	D003110	1
CHEMBL408513	D000230	2
CHEMBL408513	D018293	2
CHEMBL408513	D001752	1
CHEMBL408513	D012509	1
CHEMBL408513	D010534	2
CHEMBL408513	D005185	2
CHEMBL408513	D008224	1
CHEMBL408513	D015459	2
CHEMBL272485	D004478	
CHEMBL361497	D001943	1
CHEMBL429910	D011085	3
CHEMBL429910	D033461	2
CHEMBL473417	D010051	2
CHEMBL473417	D064129	1
CHEMBL473417	D055728	1
CHEMBL435191	D001943	2
CHEMBL1186894	D008175	3
CHEMBL2093999	D012769	2
CHEMBL451887	D010954	1
CHEMBL451887	D015463	1
CHEMBL451887	D018278	2
CHEMBL451887	D007680	2
CHEMBL451887	D064129	2
CHEMBL1750	D006086	2
CHEMBL1750	D016399	1
CHEMBL603469	D064129	2
CHEMBL603469	D055728	1
CHEMBL601719	D007674	1
CHEMBL601719	D000080443	1
CHEMBL601719	D013274	2
CHEMBL601719	D001943	2
CHEMBL601719	D064129	1
CHEMBL601719	D008175	3
CHEMBL601719	D006104	2
CHEMBL1230227	D064129	2
CHEMBL1170047	D012192	2
CHEMBL1170047	D001943	3
CHEMBL1170047	D010051	2
CHEMBL501122	D008581	1
CHEMBL1002	D001986	4
CHEMBL1422	D051437	4
CHEMBL1201222	D003865	3
CHEMBL1201182	D018305	2
CHEMBL1201182	D009362	3
CHEMBL1201182	D000080443	1
CHEMBL1201182	D016543	2
CHEMBL1201182	D012192	2
CHEMBL1201182	D001749	2
CHEMBL1201182	D010534	1
CHEMBL1201182	D013964	2
CHEMBL1201182	D007680	2
CHEMBL1201182	D008113	2
CHEMBL1201182	D002583	1
CHEMBL1201182	D005910	1
CHEMBL1201182	D014523	1
CHEMBL1201182	D010051	2
CHEMBL1201182	D064129	2
CHEMBL1201182	D008175	1
CHEMBL1201182	D003110	1
CHEMBL1201182	D007340	2
CHEMBL1201187	D006086	2
CHEMBL1201187	D019337	2
CHEMBL1201192	D004938	2
CHEMBL1201192	D009290	4
CHEMBL1201192	D001930	3
CHEMBL1201284	D010279	4
CHEMBL477772	D012192	2
CHEMBL477772	D001749	2
CHEMBL477772	D005185	2
CHEMBL477772	D014523	2
CHEMBL477772	D064129	2
CHEMBL477772	D008175	2
CHEMBL477772	D018276	2
CHEMBL487253	D008175	2
CHEMBL487253	D019337	1
CHEMBL1201746	D010534	1
CHEMBL1201746	D005185	1
CHEMBL1201746	D010051	1
CHEMBL1201746	D008175	2
CHEMBL1201746	D015459	2
CHEMBL1201766	D003111	3
CHEMBL343448	D021441	1
CHEMBL343448	D001749	2
CHEMBL343448	D014523	2
CHEMBL343448	D010051	2
CHEMBL343448	D064129	2
CHEMBL343448	D008224	2
CHEMBL1214124	D001714	1
CHEMBL1214124	D013313	1
CHEMBL1214124	D014103	1
CHEMBL1214124	D004830	4
CHEMBL1214124	D003865	1
CHEMBL1683590	D002583	2
CHEMBL1683590	D012468	2
CHEMBL1683590	D064129	2
CHEMBL1683590	D001932	1
CHEMBL443684	D054198	1
CHEMBL443684	D010051	2
CHEMBL443684	D064129	2
CHEMBL1289926	D001661	2
CHEMBL1289926	D001752	1
CHEMBL1289926	D013274	1
CHEMBL1289926	D012468	2
CHEMBL1289926	D064129	2
CHEMBL1289926	D016889	2
CHEMBL1289926	D054364	2
CHEMBL1652606	D001424	3
CHEMBL1789941	D045169	3
CHEMBL1789941	D064129	2
CHEMBL1789941	D008175	1
CHEMBL1789941	D051359	3
CHEMBL1201568	D016411	2
CHEMBL1201568	D000077192	2
CHEMBL1201568	D012004	2
CHEMBL1201568	D015179	2
CHEMBL1201568	D013274	2
CHEMBL1201568	D009503	4
CHEMBL1201568	D001932	1
CHEMBL1201568	D010534	2
CHEMBL1201568	D005185	2
CHEMBL1201568	D014523	2
CHEMBL1201568	D007951	2
CHEMBL1201568	D004938	3
CHEMBL1201568	D010051	2
CHEMBL1201568	D064129	2
CHEMBL1201568	D008175	3
CHEMBL1201568	D008224	3
CHEMBL1201568	D003110	2
CHEMBL1201421	D057135	4
CHEMBL1201421	D008269	3
CHEMBL1201476	D017202	3
CHEMBL1201476	D013923	3
CHEMBL1201476	D010051	2
CHEMBL1201580	D020370	2
CHEMBL1201580	D057135	2
CHEMBL1201580	D013964	1
CHEMBL1201589	D000799	3
CHEMBL1201589	D009395	2
CHEMBL1201589	D003110	1
CHEMBL1201419	D007006	2
CHEMBL1201560	D008103	3
CHEMBL1201560	D000080443	2
CHEMBL1201560	D007680	1
CHEMBL1201560	D001943	2
CHEMBL1201821	D002294	3
CHEMBL1201821	D016399	2
CHEMBL1201821	D003110	2
CHEMBL1201821	D018302	1
CHEMBL1201821	D019337	1
CHEMBL1201823	D006086	2
CHEMBL1201823	D000077733	2
CHEMBL1201825	D056833	1
CHEMBL1201825	D013684	2
CHEMBL1201825	D001766	3
CHEMBL1201825	D008269	4
CHEMBL1201827	D001749	2
CHEMBL1201827	D005185	2
CHEMBL1201827	D007680	1
CHEMBL1201827	D002583	2
CHEMBL1201827	D010051	2
CHEMBL1201827	D064129	2
CHEMBL1201827	D008175	2
CHEMBL1201827	D003110	3
CHEMBL1201828	D006463	3
CHEMBL1201830	D045743	1
CHEMBL1201867	D005909	2
CHEMBL1237022	D011471	2
CHEMBL1237022	D011014	3
CHEMBL1237022	D011024	2
CHEMBL1237022	D055501	2
CHEMBL1237022	D003865	2
CHEMBL1237022	D001943	2
CHEMBL1237022	D010051	1
CHEMBL1237022	D051359	2
CHEMBL1237022	D005871	2
CHEMBL1237022	D019337	2
CHEMBL1237023	D010051	1
CHEMBL1237023	D007674	1
CHEMBL1237023	D009362	4
CHEMBL1237023	D058922	2
CHEMBL1237023	D005870	4
CHEMBL1237023	D064129	3
CHEMBL1237023	D008175	3
CHEMBL1237024	D064129	4
CHEMBL1742989	D002294	2
CHEMBL1742989	D001943	2
CHEMBL1742991	D006402	2
CHEMBL1743028	D001943	2
CHEMBL1743049	D064129	2
CHEMBL1743082	D013274	2
CHEMBL1789843	D004646	2
CHEMBL1789843	D006086	1
CHEMBL1789844	D009447	2
CHEMBL1789844	D002276	2
CHEMBL1789844	D012192	2
CHEMBL1789844	D010534	1
CHEMBL1789844	D013964	2
CHEMBL1789844	D018278	2
CHEMBL1789844	D007680	3
CHEMBL1789844	D012468	2
CHEMBL1789844	D064129	3
CHEMBL1789844	D008175	3
CHEMBL1789844	D010911	2
CHEMBL1789844	D008579	2
CHEMBL1863515	D019337	1
CHEMBL4297166	D012871	3
CHEMBL4297166	D001424	4
CHEMBL373742	D012769	3
CHEMBL373742	D007889	Not Applicable
CHEMBL373742	D003865	2
CHEMBL373742	D009214	3
CHEMBL373742	D003919	4
CHEMBL373742	D006976	2
CHEMBL403664	D012514	3
CHEMBL403664	D008228	Not Applicable
CHEMBL403664	D008479	3
CHEMBL403664	D016543	2
CHEMBL403664	D018236	3
CHEMBL403664	D018240	3
CHEMBL403664	D002822	4
CHEMBL403664	D013274	1
CHEMBL403664	D010490	3
CHEMBL403664	D013724	3
CHEMBL403664	D002583	3
CHEMBL403664	D018312	3
CHEMBL525610	D001851	Not Applicable
CHEMBL525610	D001416	3
CHEMBL577736	D015817	4
CHEMBL3990276	D020370	2
CHEMBL1201584	D002545	3
CHEMBL1201584	D000208	3
CHEMBL1201451	D007674	2
CHEMBL1201451	D012769	2
CHEMBL1201451	D002544	2
CHEMBL1201451	D006086	2
CHEMBL1201451	D019896	2
CHEMBL1201587	D009196	2
CHEMBL1201587	D016553	2
CHEMBL1201587	D000744	2
CHEMBL1201587	D015463	2
CHEMBL1201587	D010534	1
CHEMBL1201587	D005185	1
CHEMBL1201587	D007680	2
CHEMBL1201587	D010051	1
CHEMBL1201587	D051359	1
CHEMBL1201587	D054066	2
CHEMBL1201587	D006103	3
CHEMBL1201587	D018302	1
CHEMBL1201593	D045169	2
CHEMBL1201593	D060050	3
CHEMBL1201593	D012128	3
CHEMBL1201570	D008224	2
CHEMBL1201570	D001943	1
CHEMBL1201570	D001930	2
CHEMBL1201619	D001943	1
CHEMBL1201439	D004646	3
CHEMBL1201439	D007674	2
CHEMBL1201439	D014511	1
CHEMBL1201439	D006103	2
CHEMBL1201556	D014456	3
CHEMBL1201583	D011014	2
CHEMBL1201583	D010610	1
CHEMBL1201583	D056833	2
CHEMBL1201583	D000080443	2
CHEMBL1201583	D018293	1
CHEMBL1201583	D016543	2
CHEMBL1201583	D012192	2
CHEMBL1201583	D008582	1
CHEMBL1201583	D058405	1
CHEMBL1201583	D018245	2
CHEMBL1201583	D029424	3
CHEMBL1201583	D002833	3
CHEMBL1201583	D013684	3
CHEMBL1201583	D013964	2
CHEMBL1201583	D018278	2
CHEMBL1201583	D010212	2
CHEMBL1201583	D007680	3
CHEMBL1201583	D008113	3
CHEMBL1201583	D018219	2
CHEMBL1201583	D008269	3
CHEMBL1201583	D001661	2
CHEMBL1201583	D064129	2
CHEMBL1201583	D008175	Not Applicable
CHEMBL1201583	D018241	2
CHEMBL1201583	D006103	2
CHEMBL1201583	D008579	2
CHEMBL1201583	D007340	2
CHEMBL1201583	D055728	2
CHEMBL1201577	D007012	2
CHEMBL1201577	D009437	2
CHEMBL1201577	D020918	2
CHEMBL1201577	D015463	1
CHEMBL1201577	D001749	2
CHEMBL1201577	D001932	1
CHEMBL1201577	D008113	Not Applicable
CHEMBL1201577	D010051	2
CHEMBL1201577	D064129	2
CHEMBL1201577	D008175	3
CHEMBL1201577	D016889	2
CHEMBL1201474	D002340	3
CHEMBL1201474	D002537	3
CHEMBL1201474	D001943	2
CHEMBL1201605	D057135	2
CHEMBL1201605	D006086	3
CHEMBL1201460	D010190	3
CHEMBL1201460	D016543	2
CHEMBL1201460	D013923	3
CHEMBL1201460	D001943	3
CHEMBL1201460	D010051	2
CHEMBL1201460	D064129	3
CHEMBL1201460	D008175	3
CHEMBL1201460	D006504	3
CHEMBL1201460	D001930	3
CHEMBL1201534	D013921	3
CHEMBL1201566	D004407	2
