mesh_id	mesh_name	trait_category_OpenTargets	trait_area_HRCS	trait_ICD10_top
D001851	"Bone Diseases, Metabolic"	musculoskeletal or connective tissue disease	metabolic and endocrine	"Endocrine, nutritional and metabolic diseases"
D010024	Osteoporosis	musculoskeletal or connective tissue disease	musculoskeletal	Diseases of the musculoskeletal system and connective tissue
D009443	Neuritis	nervous system disease	infection	Diseases of the eye and adnexa
D010538	Peritonitis	gastrointestinal disease	infection	Diseases of the digestive system
D010998	Pleurisy	respiratory or thoracic disease	inflammatory and immune system	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
D011565	Psoriasis	integumentary system disease	inflammatory and immune system	Diseases of the respiratory system
D012163	Retinal Detachment	disease of visual system	eye	Diseases of the eye and adnexa
D012393	Rosacea	integumentary system disease	skin	Diseases of the skin and subcutaneous tissue
D006042	Goiter	endocrine system disease	metabolic and endocrine	"Endocrine, nutritional and metabolic diseases"
D002546	"Ischemic Attack, Transient"	cardiovascular disease	stroke	Diseases of the circulatory system
D000083242	Ischemic Stroke	nervous system disease	stroke	Diseases of the circulatory system
D012891	Sleep Apnea Syndromes	respiratory or thoracic disease	respiratory	Diseases of the nervous system
D013921	Thrombocytopenia	cardiovascular disease	blood	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
D015179	Colorectal Neoplasms	cell proliferation disorder	cancer and neoplasms	Neoplasms
D006627	Hirschsprung Disease	gastrointestinal disease	neurological	"Congenital malformations, deformations, chromosomal abnormalities, and genetic disorders"
D013964	Thyroid Neoplasms	cell proliferation disorder	cancer and neoplasms	Neoplasms
D010001	Osteitis Deformans	musculoskeletal or connective tissue disease	musculoskeletal	Diseases of the musculoskeletal system and connective tissue
D007018	Hypopituitarism	endocrine system disease	metabolic and endocrine	"Endocrine, nutritional and metabolic diseases"
D020246	Venous Thrombosis	cardiovascular disease	blood	Diseases of the circulatory system
D000075224	Cardiac Conduction System Disease	cardiovascular disease	cardiovascular	Diseases of the circulatory system
D003731	Dental Caries	musculoskeletal or connective tissue disease	oral and gastrointestinal	Diseases of the digestive system
D005242	Fecal Incontinence	gastrointestinal disease	oral and gastrointestinal	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
D016055	Urinary Retention	urinary system disease	renal and urogenital	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
D011141	Polyuria	urinary system disease	renal and urogenital	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
D007762	Labyrinthitis	disease of ear	infection	Diseases of the ear and mastoid process
D012878	Skin Neoplasms	cell proliferation disorder	cancer and neoplasms	Neoplasms
D009260	Nail Diseases	integumentary system disease	skin	Diseases of the skin and subcutaneous tissue
D016491	Peripheral Vascular Diseases	cardiovascular disease	cardiovascular	Diseases of the circulatory system
D011111	Polymyalgia Rheumatica	musculoskeletal or connective tissue disease	inflammatory and immune system	Diseases of the musculoskeletal system and connective tissue
D013118	Spinal Cord Diseases	nervous system disease	musculoskeletal	Diseases of the nervous system
D014581	Urticaria	integumentary system disease	skin	Diseases of the skin and subcutaneous tissue
D014648	Varicose Veins	cardiovascular disease	blood	Diseases of the circulatory system
D010031	Otitis	disease of ear	ear	Diseases of the ear and mastoid process
D019966	Substance-Related Disorders	psychiatric disorder	mental health	"Mental, Behavioral and Neurodevelopmental disorders"
D015155	"Esophageal Spasm, Diffuse"	gastrointestinal disease	oral and gastrointestinal	Diseases of the digestive system
