drug	mesh_id
CHEMBL894	D007827
CHEMBL894	D013035
CHEMBL894	D053609
CHEMBL894	D007964
CHEMBL894	D007970
CHEMBL894	D008477
CHEMBL894	D008593
CHEMBL894	D008599
CHEMBL894	D008796
CHEMBL894	D009041
CHEMBL894	D009122
CHEMBL894	D009123
CHEMBL894	D009127
CHEMBL894	D009140
CHEMBL894	D059352
CHEMBL894	D009181
CHEMBL894	D015878
CHEMBL894	D009203
CHEMBL894	D054058
CHEMBL894	D009207
CHEMBL894	D009304
CHEMBL894	D009325
CHEMBL894	D009369
CHEMBL894	D009422
CHEMBL894	D009437
CHEMBL894	D004325
CHEMBL894	D053158
CHEMBL894	D020018
CHEMBL894	D010024
CHEMBL894	D010048
CHEMBL894	D010049
CHEMBL894	D010146
CHEMBL894	D010167
CHEMBL894	D010195
CHEMBL894	D010198
CHEMBL894	D010200
CHEMBL894	D010254
CHEMBL894	D010292
CHEMBL894	D034161
CHEMBL894	D010612
CHEMBL894	D010689
CHEMBL894	D011014
CHEMBL894	D011127
CHEMBL894	D011141
CHEMBL894	D011247
CHEMBL894	D011293
CHEMBL894	D011469
CHEMBL894	D011536
CHEMBL894	D011537
CHEMBL894	D018781
CHEMBL894	D011618
CHEMBL894	D011655
CHEMBL894	D012001
CHEMBL894	D012141
CHEMBL894	D012206
CHEMBL894	D012220
CHEMBL894	D012488
CHEMBL894	D012585
CHEMBL894	D012625
CHEMBL894	D012640
CHEMBL894	D012713
CHEMBL894	D012798
CHEMBL894	D012852
CHEMBL894	D012871
CHEMBL894	D012893
CHEMBL894	D012912
CHEMBL894	D012913
CHEMBL894	D017695
CHEMBL894	D013009
CHEMBL894	D013262
CHEMBL894	D013276
CHEMBL894	D013280
CHEMBL894	D020521
CHEMBL894	D000081013
CHEMBL894	D013406
CHEMBL894	D013471
CHEMBL894	D017484
CHEMBL894	D014474
CHEMBL894	D012769
CHEMBL894	D013575
CHEMBL894	D013610
CHEMBL894	D013617
CHEMBL894	D052256
CHEMBL894	D013894
CHEMBL894	D013921
CHEMBL894	D014008
CHEMBL894	D014012
CHEMBL894	D014069
CHEMBL894	D014076
CHEMBL894	D014098
CHEMBL894	D014202
CHEMBL894	D014256
CHEMBL894	D014549
CHEMBL894	D014552
CHEMBL894	D014555
CHEMBL894	D014522
CHEMBL894	D014570
CHEMBL894	D014581
CHEMBL894	D014627
CHEMBL894	D014652
CHEMBL894	D014717
CHEMBL894	D014839
CHEMBL894	D015430
CHEMBL894	D012135
CHEMBL894	D014946
CHEMBL894	D022125
CHEMBL894	D014987
CHEMBL894	D015000
CHEMBL894	D013180
CHEMBL894	D016055
CHEMBL894	D016585
CHEMBL894	D023341
CHEMBL894	D057565
CHEMBL894	D020795
CHEMBL894	D003863
CHEMBL894	D018476
CHEMBL894	D008107
CHEMBL894	D016584
CHEMBL894	D019226
CHEMBL894	D008881
CHEMBL894	D014060
CHEMBL894	D014947
CHEMBL894	D000087122
CHEMBL894	D018908
CHEMBL894	D058447
CHEMBL894	D010259
CHEMBL894	D012678
CHEMBL894	D007766
CHEMBL894	D044342
CHEMBL894	D063806
CHEMBL894	D008569
CHEMBL894	D005059
CHEMBL894	D007319
CHEMBL894	D006941
CHEMBL894	D007172
CHEMBL894	D020734
CHEMBL894	D034381
CHEMBL894	D005117
CHEMBL894	D011595
CHEMBL894	D059020
CHEMBL894	D004410
CHEMBL894	D000072281
CHEMBL894	D014786
CHEMBL894	D003244
CHEMBL894	D019584
CHEMBL894	D000071057
CHEMBL894	D010031
CHEMBL894	D000152
CHEMBL894	D000073818
CHEMBL894	D053201
CHEMBL894	D006970
CHEMBL894	D000086722
CHEMBL894	D004414
CHEMBL894	D000857
CHEMBL894	D000077260
CHEMBL894	D014592
CHEMBL412	D015746
CHEMBL412	D000013
CHEMBL412	D000505
CHEMBL412	D000568
CHEMBL412	D000647
CHEMBL412	D000707
CHEMBL412	D000799
CHEMBL412	D001007
CHEMBL412	D001037
CHEMBL412	D018771
CHEMBL412	D001168
CHEMBL412	D001247
CHEMBL412	D001249
CHEMBL412	D001416
CHEMBL412	D001424
CHEMBL412	D001523
CHEMBL412	D001762
CHEMBL412	D001778
CHEMBL412	D001847
CHEMBL412	D001943
CHEMBL412	D001941
CHEMBL412	D001986
CHEMBL412	D001991
CHEMBL412	D009369
CHEMBL412	D002177
CHEMBL412	D002181
CHEMBL412	D002318
CHEMBL412	D002349
CHEMBL412	D002546
CHEMBL412	D002561
CHEMBL412	D019547
CHEMBL412	D002579
CHEMBL412	D002637
CHEMBL412	D002764
CHEMBL412	D002769
CHEMBL412	D002819
CHEMBL412	D009304
CHEMBL412	D012220
CHEMBL412	D003141
CHEMBL412	D003221
CHEMBL412	D003231
CHEMBL412	D003240
CHEMBL412	D003248
CHEMBL412	D003288
CHEMBL412	D003328
CHEMBL412	D003371
CHEMBL412	D003556
CHEMBL412	D003560
CHEMBL412	D007989
CHEMBL412	D003680
CHEMBL412	D003863
CHEMBL412	D003872
CHEMBL412	D003877
CHEMBL412	D003967
CHEMBL412	D004238
CHEMBL412	D004244
CHEMBL412	D004408
CHEMBL412	D004412
CHEMBL412	D004415
CHEMBL412	D004417
CHEMBL412	D004427
CHEMBL412	D004433
CHEMBL412	D004485
CHEMBL412	D004487
CHEMBL412	D004617
CHEMBL412	D004700
CHEMBL412	D004714
CHEMBL412	D004715
CHEMBL412	D004827
CHEMBL412	D004844
CHEMBL412	D004892
CHEMBL412	D004893
