drug	target
CHEMBL1236936	ENSG00000123201
CHEMBL1236936	ENSG00000152402
CHEMBL1236936	ENSG00000164116
CHEMBL2368861	ENSG00000112038
CHEMBL511142	ENSG00000112038
CHEMBL264374	ENSG00000132170
CHEMBL264374	ENSG00000186951
CHEMBL264374	ENSG00000112033
CHEMBL2109321	ENSG00000106991
CHEMBL11662	ENSG00000059377
CHEMBL377300	ENSG00000068078
CHEMBL377300	ENSG00000077782
CHEMBL377300	ENSG00000160867
CHEMBL377300	ENSG00000066468
CHEMBL1743011	ENSG00000006327
CHEMBL1200916	ENSG00000149295
CHEMBL1200916	ENSG00000151577
CHEMBL1200916	ENSG00000069696
CHEMBL479	ENSG00000149295
CHEMBL479	ENSG00000151577
CHEMBL479	ENSG00000069696
CHEMBL4594403	ENSG00000152578
CHEMBL4594403	ENSG00000125675
CHEMBL4594403	ENSG00000120251
CHEMBL4594403	ENSG00000155511
CHEMBL2109224	ENSG00000005844
CHEMBL2109224	ENSG00000160255
CHEMBL3545133	ENSG00000197122
CHEMBL3545017	ENSG00000091831
CHEMBL1078178	ENSG00000162434
CHEMBL3286580	ENSG00000158748
CHEMBL2108027	ENSG00000112164
CHEMBL2108358	ENSG00000171509
CHEMBL187927	ENSG00000160716
CHEMBL187927	ENSG00000101204
CHEMBL1620	ENSG00000196639
CHEMBL657	ENSG00000196639
CHEMBL247951	ENSG00000186951
CHEMBL1257	ENSG00000082482
CHEMBL2109474	ENSG00000010610
CHEMBL2109341	ENSG00000160791
CHEMBL1201103	ENSG00000120907
CHEMBL1201103	ENSG00000171873
CHEMBL1201103	ENSG00000170214
CHEMBL524	ENSG00000120907
CHEMBL524	ENSG00000171873
CHEMBL524	ENSG00000170214
CHEMBL565	ENSG00000186951
CHEMBL1800955	ENSG00000092054
CHEMBL1800955	ENSG00000197616
CHEMBL1800955	ENSG00000078814
CHEMBL1800955	ENSG00000160808
CHEMBL1800955	ENSG00000111245
CHEMBL1800955	ENSG00000106631
CHEMBL1800955	ENSG00000198336
CHEMBL2108316	ENSG00000101412
CHEMBL2108316	ENSG00000007968
CHEMBL2108316	ENSG00000112242
CHEMBL2108316	ENSG00000205250
CHEMBL2108316	ENSG00000133740
CHEMBL2108316	ENSG00000169016
CHEMBL2108316	ENSG00000165891
CHEMBL2108316	ENSG00000129173
CHEMBL2105648	ENSG00000172819
CHEMBL3187723	ENSG00000169032
